frequency_hz,gain_db,phase_deg
100.0,32.4503607,-19.30756856420893
100.230524,32.4894225,-19.35128455642806
100.461579,32.5284801,-19.39509600341585
100.693167,32.5675335,-19.439003077059656
100.925289,32.6065827,-19.483006006542585
101.157945,32.6456277,-19.527104963751977
101.391139,32.6846684,-19.571300120575174
101.624869,32.7237049,-19.61559164889951
101.859139,32.7627371,-19.659979777908106
102.093948,32.801765,-19.7044646794883
102.329299,32.8407887,-19.74904646823165
102.565193,32.879808,-19.793725487912834
102.80163,32.9188229,-19.83850179582763
103.038612,32.9578335,-19.88337556386338
103.276141,32.9968397,-19.928347078498977
103.514217,33.0358415,-19.973416511621764
103.752842,33.0748389,-20.018583977823294
103.992017,33.1138318,-20.06384976358247
104.231743,33.1528203,-20.10921392619507
104.472022,33.1918043,-20.154676809435774
104.712855,33.2307838,-20.200238470600354
104.954243,33.2697588,-20.245899138871938
105.196187,33.3087293,-20.291659043433636
105.43869,33.3476952,-20.33751835617279
105.681751,33.3866565,-20.383477248976735
105.925373,33.4256133,-20.42953589373281
106.169556,33.4645654,-20.47569451962414
106.414302,33.5035129,-20.52195329853806
106.659612,33.5424558,-20.56831245965769
106.905488,33.581394,-20.61477211757458
107.151931,33.6203275,-20.661332501471854
107.398941,33.6592563,-20.707993840532634
107.646521,33.6981804,-20.75475624934847
107.894672,33.7370997,-20.801619957102485
108.143395,33.7760142,-20.8485851929778
108.392691,33.814924,-20.89565212886175
108.642562,33.8538289,-20.942820879345895
108.893009,33.8927291,-20.990091730909132
109.144034,33.9316243,-21.037464855438802
109.395637,33.9705148,-21.08494036752646
109.64782,34.0094003,-21.132518610946786
109.900584,34.0482809,-21.180199642995557
110.153931,34.0871566,-21.227983692855894
110.407862,34.1260273,-21.27587098971091
110.662378,34.164893,-21.323861648152175
110.917482,34.2037538,-21.371956011954346
111.173173,34.2426095,-21.42015408111745
111.429453,34.2814602,-21.46845619941614
111.686325,34.3203059,-21.516862481441994
111.943788,34.3591465,-21.56537315637811
112.201845,34.397982,-21.613988453407618
112.460497,34.4368123,-21.66270848712208
112.719746,34.4756375,-21.711533486704614
112.979591,34.5144576,-21.76046362404255
113.240036,34.5532725,-21.80949912831901
113.501082,34.5920821,-21.85864017142133
113.762729,34.6308866,-21.90788698253264
114.024979,34.6696857,-21.957239733540263
114.287833,34.7084797,-22.006698596331546
114.551294,34.7472683,-22.056263800089607
114.815362,34.7860516,-22.10593557399756
115.080039,34.8248295,-22.155714032646966
115.345326,34.8636022,-22.205599405220948
115.611224,34.9023694,-22.255591863606835
115.877736,34.9411312,-22.305691694283528
116.144861,34.9798876,-22.35589901184259
116.412603,35.0186385,-22.40621398817136
116.680962,35.057384,-22.456636909748728
116.949939,35.096124,-22.50716794846204
117.219537,35.1348585,-22.55780721890285
117.489755,35.1735874,-22.60855500755006
117.760597,35.2123107,-22.659411486291006
118.032064,35.2510285,-22.710376884308808
118.304156,35.2897407,-22.761451316195018
118.576875,35.3284472,-22.81263506842854
118.850223,35.3671481,-22.86392825560094
