time_s,fid_source_v,adc_differential_v
0.0,0.0,-2.4999999999941735e-05
5e-08,6.74434165e-10,-2.4999999999941735e-05
1e-07,1.34886796e-09,-2.4999999999941735e-05
2e-07,2.69773322e-09,-2.4999999999941735e-05
4e-07,5.395446e-09,-2.4999999999941735e-05
8e-07,1.0790733e-08,-2.4999999999941735e-05
1.6e-06,2.15802123e-08,-2.4999999999941735e-05
3.2e-06,4.31504682e-08,-2.4999999999941735e-05
6.4e-06,8.62216043e-08,-2.4999999999941735e-05
1.14e-05,1.53173968e-07,-2.4999999999941735e-05
1.64e-05,2.19440773e-07,-2.4999999999941735e-05
2.14e-05,2.84725741e-07,-2.4999999999941735e-05
2.64e-05,3.48736988e-07,-2.499000000000251e-05
3.14e-05,4.11188328e-07,-2.499000000000251e-05
3.64e-05,4.71800552e-07,-2.4980000000063285e-05
4.14e-05,5.30302676e-07,-2.497000000012406e-05
4.64e-05,5.86433155e-07,-2.494999999980152e-05
5.14e-05,6.39941049e-07,-2.4919999999983844e-05
5.64e-05,6.90587148e-07,-2.4869999999843628e-05
6.14e-05,7.38145038e-07,-2.4819999999703413e-05
6.64e-05,7.82402116e-07,-2.4750000000128836e-05
7.14e-05,8.23160541e-07,-2.4669999999726855e-05
7.64e-05,8.60238114e-07,-2.4559999999951287e-05
8.14e-05,8.93469096e-07,-2.442999999985318e-05
8.64e-05,9.22704951e-07,-2.4279999999876622e-05
9.14e-05,9.47815003e-07,-2.4110000000021614e-05
9.64e-05,9.68687028e-07,-2.390999999990484e-05
0.0001014,9.85227748e-07,-2.367999999997039e-05
0.0001064,9.97363255e-07,-2.3419999999774177e-05
0.0001114,1.00503934e-06,-2.3129999999760287e-05
0.0001164,1.00822172e-06,-2.280999999992872e-05
0.0001214,1.00689622e-06,-2.245999999983539e-05
0.0001264,1.00106881e-06,-2.2079999999924382e-05
0.0001314,9.90765601e-07,-2.166999999975161e-05
0.0001364,9.76032699e-07,-2.1229999999761162e-05
0.0001414,9.56936025e-07,-2.0769999999892264e-05
