Reference,Qty,Value or part,Package
R1 R6 R7 R8 R9 R10 R11 R18 R19 R22 R23,11,10 kohm,Thomson kit axial nominal
R2 R3,2,1 megohm,Thomson kit axial nominal
R4,1,1 kohm,Thomson kit axial nominal
R5,1,470 ohm,Thomson kit axial nominal
R20 R21,2,100 kohm,Thomson kit axial nominal
R12 R13 R14 R15 R16 R17,6,2.2 kohm,Thomson kit axial nominal
C5,1,22 nF,Thomson kit ceramic nominal
C9,1,100 pF,Thomson kit ceramic nominal
C7 C10,2,100 nF,Thomson kit ceramic nominal
C14,1,1 uF,Thomson kit electrolytic nominal
C6,1,47 uF,Thomson kit electrolytic nominal
D1 D2 D3 D4 D5 D6 D7 D8,8,1N4148,Thomson kit axial diode
Q1 Q2 Q3 Q4 Q5 Q6,6,2N3904,Thomson kit TO-92 nominal
U3,1,Seeed Studio XIAO RP2350,Already purchased module
MOD1,1,HiLetgo ADS1256 5V 8-channel 24-bit ADC module,Already purchased module
